abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary,genderless,total_stats,offense_defense_ratio,predicted_legendary
"Overgrow, Chlorophyll",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,49,5120,70,318,45,Seed Pokémon,49,1059860,0.7,45,Fushigidaneフシギダネ,Bulbasaur,88.1,1,65,65,45,Grass,Poison,6.9,1,FALSE,FALSE,318,1,1.0309157505443982e-5
"Overgrow, Chlorophyll",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,62,5120,70,405,45,Seed Pokémon,63,1059860,1,60,Fushigisouフシギソウ,Ivysaur,88.1,2,80,80,60,Grass,Poison,13,1,FALSE,FALSE,405,0.9841269841269841,1.9607708829263166e-4
"Overgrow, Chlorophyll",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,100,5120,70,625,45,Seed Pokémon,123,1059860,2,80,Fushigibanaフシギバナ,Venusaur,88.1,3,122,120,80,Grass,Poison,100,1,FALSE,FALSE,625,0.8130081300813008,0.25199349650150643
"Blaze, Solar Power",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,52,5120,70,309,45,Lizard Pokémon,43,1059860,0.6,39,Hitokageヒトカゲ,Charmander,88.1,4,60,50,65,Fire,None,8.5,1,FALSE,FALSE,309,1.2093023255813953,1.550839105137656e-5
"Blaze, Solar Power",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,64,5120,70,405,45,Flame Pokémon,58,1059860,1.1,58,Lizardoリザード,Charmeleon,88.1,5,80,65,80,Fire,None,19,1,FALSE,FALSE,405,1.103448275862069,3.999667255177177e-4
"Blaze, Solar Power",0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,104,5120,70,634,45,Flame Pokémon,78,1059860,1.7,78,Lizardonリザードン,Charizard,88.1,6,159,115,100,Fire,Flying,90.5,1,FALSE,FALSE,634,1.3333333333333333,0.48245535284335167
"Torrent, Rain Dish",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,48,5120,70,314,45,Tiny Turtle Pokémon,65,1059860,0.5,44,Zenigameゼニガメ,Squirtle,88.1,7,50,64,43,Water,None,9,1,FALSE,FALSE,314,0.7384615384615385,6.425758630209149e-6
"Torrent, Rain Dish",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,63,5120,70,405,45,Turtle Pokémon,80,1059860,1,59,Kameilカメール,Wartortle,88.1,8,65,80,58,Water,None,22.5,1,FALSE,FALSE,405,0.7875,1.3994856445159986e-4
"Torrent, Rain Dish",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,103,5120,70,630,45,Shellfish Pokémon,120,1059860,1.6,79,Kamexカメックス,Blastoise,88.1,9,135,115,78,Water,None,85.5,1,FALSE,FALSE,630,0.8583333333333333,0.22166210071400053
"Shield Dust, Run Away",1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,30,3840,70,195,255,Worm Pokémon,35,1000000,0.3,45,Caterpieキャタピー,Caterpie,50,10,20,20,45,Bug,None,2.9,1,FALSE,FALSE,195,0.8571428571428571,1.3859891110113e-7
Shed Skin,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,20,3840,70,205,120,Cocoon Pokémon,55,1000000,0.7,50,Transelトランセル,Metapod,50,11,25,25,30,Bug,None,9.9,1,FALSE,FALSE,205,0.36363636363636365,1.9444822065148065e-7
"Compoundeyes, Tinted Lens",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,45,3840,70,395,45,Butterfly Pokémon,50,1000000,1.1,60,Butterfreeバタフリー,Butterfree,50,12,90,80,70,Bug,Flying,32,1,FALSE,FALSE,395,0.9,1.2094584038223842e-4
"Shield Dust, Run Away",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,35,3840,70,195,255,Hairy Pokémon,30,1000000,0.3,40,Beedleビードル,Weedle,50,13,20,20,50,Bug,Poison,3.2,1,FALSE,FALSE,195,1.1666666666666667,1.3859891110113e-7
Shed Skin,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,25,3840,70,205,120,Cocoon Pokémon,50,1000000,0.6,45,Cocoonコクーン,Kakuna,50,14,25,25,35,Bug,Poison,10,1,FALSE,FALSE,205,0.5,1.9444822065148065e-7
"Swarm, Sniper",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,150,3840,70,495,45,Poison Bee Pokémon,40,1000000,1,65,Spearスピアー,Beedrill,50,15,15,80,145,Bug,Poison,29.5,1,FALSE,FALSE,495,3.75,0.0035607059057839114
"Keen Eye, Tangled Feet, Big Pecks",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,45,3840,70,251,255,Tiny Bird Pokémon,40,1059860,0.3,40,Poppoポッポ,Pidgey,50,16,35,35,56,Normal,Flying,1.8,1,FALSE,FALSE,251,1.125,3.01194982782943e-7
"Keen Eye, Tangled Feet, Big Pecks",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,60,3840,70,349,120,Bird Pokémon,55,1059860,1.1,63,Pigeonピジョン,Pidgeotto,50,17,50,50,71,Normal,Flying,30,1,FALSE,FALSE,349,1.0909090909090908,8.315286371526714e-6
"Keen Eye, Tangled Feet, Big Pecks",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,80,3840,70,579,45,Bird Pokémon,80,1059860,1.5,83,Pigeotピジョット,Pidgeot,50,18,135,80,121,Normal,Flying,39.5,1,FALSE,FALSE,579,1,0.01964625423755382
"Run Away, Guts, Hustle, Gluttony, Hustle, Thick Fat",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,56,3840,70,253,255,Mouse Pokémon,35,1000000,NA,30,Korattaコラッタ,Rattata,50,19,25,35,72,Normal,Dark,NA,1,FALSE,FALSE,253,1.6,3.222972203423897e-7
